Occupation,Racial_Group,Total_2019,Total_2020
Management_business_financial_operations,Total,17.1,18.4
Professional,Total,23.6,24.7
Service_occupations ,Total,17.1,15.5
Sales ,Total,9.9,9.6
Office_and_administrative_support,Total,11.3,10.5
Farming_fishing_and_forestry,Total,0.7,0.7
Construction_and_extraction,Total,5.3,5.2
Installation_maintenance_and_repair,Total,3.1,3.1
Production,Total,5.4,5.1
Transportation_and_material_moving ,Total,6.4,7.2
Management_business_financial_operations,White,18.1,19.2
Professional,White,23.3,24.2
Service_occupations ,White,15.9,14.5
Sales ,White,10.2,9.9
Office_and_administrative_support,White,11.1,10.4
Farming_fishing_and_forestry,White,0.8,0.8
Construction_and_extraction,White,5.9,5.9
Installation_maintenance_and_repair,White,3.3,3.4
Production,White,5.4,5.1
Transportation_and_material_moving ,White,5.9,6.7
Management_business_financial_operations,Black,11.7,13.4
Professional,Black,20.2,21.4
Service_occupations ,Black,23.8,21.7
Sales ,Black,9.0,8.4
Office_and_administrative_support,Black,13.3,12.5
Farming_fishing_and_forestry,Black,0.3,0.3
Construction_and_extraction,Black,3.1,3.0
Installation_maintenance_and_repair,Black,2.3,2.4
Production,Black,5.9,5.6
Transportation_and_material_moving ,Black,10.4,11.5
Management_business_financial_operations,Asian,18.5,19.3
Professional,Asian,36.6,38.9
Service_occupations ,Asian,15.8,13.7
Sales ,Asian,8.2,8.3
Office_and_administrative_support,Asian,8.8,7.7
Farming_fishing_and_forestry,Asian,0.2,0.2
Construction_and_extraction,Asian,1.3,1.3
Installation_maintenance_and_repair,Asian,1.6,1.5
Production,Asian,5.1,4.5
Transportation_and_material_moving ,Asian,4.0,4.7
Management_business_financial_operations,Hispanic,10.1,11.4
Professional,Hispanic,13.3,14.1
Service_occupations ,Hispanic,24.2,22.0
Sales ,Hispanic,9.4,9.3
Office_and_administrative_support,Hispanic,11.2,10.4
Farming_fishing_and_forestry,Hispanic,2.0,1.7
Construction_and_extraction,Hispanic,10.9,10.6
Installation_maintenance_and_repair,Hispanic,3.6,3.7
Production,Hispanic,7.1,6.9
Transportation_and_material_moving ,Hispanic,8.3,9.8