State,Total,Urban_Suburban,Rural
Maine,1328361,513542,814819
Vermont,625741,243385,382356
West Virginia,1852994,902810,950184
Mississippi,2967297,1464224,1503073
Montana,989415,553014,436401
Arkansas,2915918,1637589,1278329
South Dakota,814180,461247,352933
Kentucky,4339367,2533343,1806024
Alabama,4779736,2821804,1957932
North Dakota,672591,402872,269719
New Hampshire,1316470,793872,522598
Iowa,3046355,1950256,1096099
Wyoming,563626,364993,198633
Alaska,710231,468893,241338
North Carolina,9535483,6301756,3233727
Oklahoma,3751351,2485029,1266322
South Carolina,4625364,3067809,1557555
Tennessee,6346105,4213245,2132860
Wisconsin,5686986,3989638,1697348
Missouri,5988927,4218371,1770556
Idaho,1567582,1106370,461212
Indiana,6483802,4697100,1786702
Nebraska,1826341,1335686,490655
Louisiana,4533372,3317805,1215567
Minnesota,5303925,3886311,1417614
Kansas,2853118,2116961,736157
Michigan,9883640,7369957,2513683
Georgia,9687653,7272151,2415502
Virginia,8001024,6037094,1963930
New Mexico,2059179,1594361,464818
Ohio,11536504,8989694,2546810
Pennsylvania,12702379,9991287,2711092
Oregon,3831074,3104382,726692
Delaware,897934,747949,149985
Washington,6724540,5651869,1072671
Texas,25145561,21298039,3847522
Colorado,5029196,4332761,696435
Maryland,5773552,5034331,739221
New York,19378102,17028105,2349997
Connecticut,3574097,3144942,429155
Illinois,12830632,11353553,1477079
Arizona,6392017,5740659,651358
Utah,2763885,2503595,260290
Rhode Island,1052567,955043,97524
Florida,18801310,17139844,1661466
Hawaii,1360301,1250489,109812
Massachusetts,6547629,6021989,525640
Nevada,2700551,2543797,156754
New Jersey,8791894,8324126,467768
California,37253956,35373606,1880350
District of Columbia,601723,601723,0