Occupation,Total_2019,Total_2020,Men_2019,Men_2020,Women_2019,Women_2020
Total,3.7,8.1,3.7,7.8,3.6,8.3
Management_business_financial_operations,1.8,4.1,1.7,3.8,2.0,4.4
Professional,2.1,4.9,2.0,4.6,2.2,5.1
Healthcare_support,3.1,7.3,2.8,7.5,3.2,7.3
Protective_service,2.9,5.1,2.3,3.9,4.8,8.7
Food_preparation_and_serving,5.5,19.6,6.1,20.8,5.0,18.5
Building_and_grounds_cleaning_and_maintenance,5.1,10.9,5.6,9.4,4.4,13.1
Personal_care,3.9,16.0,4.4,17.5,3.7,15.5
Sales ,3.8,8.8,2.9,6.9,4.7,10.8
Office_and_administrative_support,3.6,7.3,4.3,7.9,3.3,7.1
Farming_fishing_and_forestry,9.6,10.3,7.7,8.4,14.8,15.7
Construction_and_extraction,5.2,10.1,5.1,10.0,6.1,10.6
Installation_maintenance_and_repair,2.6,6.4,2.5,6.2,3.7,10.9
Production,3.9,9.0,3.7,8.5,4.5,10.0
Transportation_and_material_moving ,4.7,11.1,4.5,10.6,5.4,13.2