State,Year,Life_Expectancy
Alabama,2020,73.2
Alaska,2020,76.6
Arizona,2020,76.3
Arkansas,2020,73.8
California,2020,79.0
Colorado,2020,78.3
Connecticut,2020,78.4
Delaware,2020,76.7
Florida,2020,77.5
Georgia,2020,75.6
Hawaii,2020,80.7
Idaho,2020,78.4
Illinois,2020,76.8
Indiana,2020,75.0
Iowa,2020,77.5
Kansas,2020,76.4
Kentucky,2020,73.5
Louisiana,2020,73.1
Maine,2020,77.8
Maryland,2020,76.8
Massachusetts,2020,79.0
Michigan,2020,76.0
Minnesota,2020,79.1
Mississippi,2020,71.9
Missouri,2020,75.1
Montana,2020,76.8
Nebraska,2020,77.7
Nevada,2020,76.3
New Hampshire,2020,79.0
New Jersey,2020,77.5
New Mexico,2020,74.5
New York,2020,77.7
North Carolina,2020,76.1
North Dakota,2020,76.9
Ohio,2020,75.3
Oklahoma,2020,74.1
Oregon,2020,78.8
Pennsylvania,2020,76.8
Rhode Island,2020,78.2
South Carolina,2020,74.8
South Dakota,2020,76.7
Tennessee,2020,73.8
Texas,2020,76.5
Utah,2020,78.6
Vermont,2020,78.8
Virginia,2020,77.6
Washington,2020,79.2
West Virginia,2020,72.8
Wisconsin,2020,77.7
Wyoming,2020,76.3
Alabama,2019,75.2
Alaska,2019,77.7
Arizona,2019,78.8
Arkansas,2019,75.7
California,2019,80.9
Colorado,2019,80.0
Connecticut,2019,80.3
Delaware,2019,78.1
Florida,2019,79.0
Georgia,2019,77.4
Hawaii,2019,80.9
Idaho,2019,79.5
Illinois,2019,79.0
Indiana,2019,77.0
Iowa,2019,79.0
Kansas,2019,78.2
Kentucky,2019,75.5
Louisiana,2019,75.7
Maine,2019,78.3
Maryland,2019,78.5
Massachusetts,2019,80.4
Michigan,2019,78.0
Minnesota,2019,80.4
Mississippi,2019,74.4
Missouri,2019,76.9
Montana,2019,78.4
Nebraska,2019,79.2
Nevada,2019,78.0
New Hampshire,2019,79.4
New Jersey,2019,80.1
New Mexico,2019,76.9
New York,2019,80.7
North Carolina,2019,77.6
North Dakota,2019,78.8
Ohio,2019,76.9
Oklahoma,2019,75.7
Oregon,2019,79.6
Pennsylvania,2019,78.3
Rhode Island,2019,79.5
South Carolina,2019,76.8
South Dakota,2019,78.4
Tennessee,2019,75.6
Texas,2019,78.6
Utah,2019,79.7
Vermont,2019,79.8
Virginia,2019,79.1
Washington,2019,80.0
West Virginia,2019,74.5
Wisconsin,2019,79.3
Wyoming,2019,77.7