State,RPI_2019,RPI_2020,RPI_2021
Alabama,223626.5,239485,246873.9
Alaska,39945.8,41161.8,40052.1
Arizona,316996.3,341318.5,362113.5
Arkansas,138377.8,145094.2,148568.7
California,2108670.2,2250420.2,2332657.6
Colorado,317157.4,328502.3,346082.1
Connecticut,239455.9,243003.3,253919.7
Delaware,49097.1,52229.5,53406
District of Columbia,48432.6,50237.2,50398.4
Florida,1063735.1,1107489.2,1160013.8
Georgia,504912.8,533033.1,545636.2
Hawaii,65080.5,66553.5,67312.3
Idaho,81848.1,90742.6,94097.1
Illinois,687637.5,712986.7,728882.6
Indiana,323719.1,348011.8,359702.4
Iowa,159420.7,169972.8,176780.1
Kansas,152426.4,160785.7,164557.3
Kentucky,200944.7,216979.6,225018.8
Louisiana,222219,234479.7,238268.8
Maine,66174.8,69102.6,71621.7
Maryland,332933.7,343876.7,351518.8
Massachusetts,436144.3,455315.4,475686.6
Michigan,473797.2,513048.3,522600.8
Minnesota,306558.2,327803.1,333417.9
Mississippi,123432.4,132800.1,135579.6
Missouri,296462.6,313874.2,321701.8
Montana,52336.7,57876.7,59577.9
Nebraska,104517.6,109953.1,113636.3
Nevada,148905.6,160354.1,171884.2
New Hampshire,77808,80981.2,86042.2
New Jersey,519258.5,541199.7,567508.6
New Mexico,90282.6,97529.9,102712.2
New York,1133230,1182584,1207418.8
North Carolina,501342.8,535676,548116.5
North Dakota,43297.5,46388.6,47613.4
Ohio,576408.9,618686.1,628659.7
Oklahoma,195244,201106.9,206387.4
Oregon,194953,211001,220212.2
Pennsylvania,687677.8,727606.6,750118.9
Rhode Island,54393.8,58170.3,59937.3
South Carolina,235950.8,249792.9,252155
South Dakota,48422,53347.4,55542.1
Tennessee,338398.1,361140.2,376694.6
Texas,1443763.7,1484887.2,1556765.2
Utah,147395.7,162511.4,171487.3
Vermont,32615,33687.4,35126.6
Virginia,462257.6,479242,486026
Washington,413716.1,441320.5,454854.4
West Virginia,79811.1,83651.3,82629.1
Wisconsin,300040.2,321084.8,326703.2
Wyoming,35840.6,37498.1,38263.6