State_Name,Wealthy_Designator
Alabama,Not Wealthy
Alaska,Wealthy
Arizona,Not Wealthy
Arkansas,Not Wealthy
California,Wealthy
Colorado,Wealthy
Connecticut,Wealthy
Delaware,Wealthy
District of Columbia,Wealthy
Florida,Not Wealthy
Georgia,Not Wealthy
Hawaii,Wealthy
Idaho,Not Wealthy
Illinois,Wealthy
Indiana,Not Wealthy
Iowa,Not Wealthy
Kansas,Not Wealthy
Kentucky,Not Wealthy
Louisiana,Not Wealthy
Maine,Not Wealthy
Maryland,Wealthy
Massachusetts,Wealthy
Michigan,Not Wealthy
Minnesota,Wealthy
Mississippi,Not Wealthy
Missouri,Not Wealthy
Montana,Not Wealthy
Nebraska,Not Wealthy
Nevada,Not Wealthy
New Hampshire,Wealthy
New Jersey,Wealthy
New Mexico,Not Wealthy
New York,Wealthy
North Carolina,Not Wealthy
North Dakota,Not Wealthy
Ohio,Not Wealthy
Oklahoma,Not Wealthy
Oregon,Wealthy
Pennsylvania,Not Wealthy
Rhode Island,Wealthy
South Carolina,Not Wealthy
South Dakota,Not Wealthy
Tennessee,Not Wealthy
Texas,Not Wealthy
Utah,Wealthy
Vermont,Wealthy
Virginia,Wealthy
Washington,Wealthy
West Virginia,Not Wealthy
Wisconsin,Not Wealthy
Wyoming,Not Wealthy