State,Republican/lean Rep.,No lean,Democrat/lean Dem.,Sample size
Alabama,52.00,13.00,35.00,511
Alaska,39.00,29.00,32.00,310
Arizona,40.00,21.00,39.00,653
Arkansas,46.00,16.00,38.00,311
California,30.00,21.00,49.00,3697
Colorado,41.00,17.00,42.00,504
Connecticut,32.00,18.00,50.00,377
Delaware,29.00,17.00,55.00,301
District of Columbia,11.00,15.00,73.00,303
Florida,37.00,19.00,44.00,2020
Georgia,41.00,18.00,41.00,968
Hawaii,28.00,20.00,51.00,312
Idaho,49.00,19.00,32.00,320
Illinois,33.00,19.00,48.00,1326
Indiana,42.00,20.00,37.00,654
Iowa,41.00,19.00,40.00,330
Kansas,46.00,23.00,31.00,307
Kentucky,44.00,13.00,43.00,439
Louisiana,41.00,16.00,43.00,465
Maine,36.00,17.00,47.00,303
Maryland,31.00,14.00,55.00,644
Massachusetts,27.00,17.00,56.00,704
Michigan,34.00,19.00,47.00,982
Minnesota,39.00,15.00,46.00,563
Mississippi,44.00,14.00,42.00,309
Missouri,41.00,18.00,42.00,642
Montana,49.00,21.00,30.00,312
Nebraska,47.00,17.00,36.00,312
Nevada,37.00,18.00,46.00,314
New Hampshire,35.00,20.00,44.00,303
New Jersey,30.00,19.00,51.00,886
New Mexico,37.00,15.00,48.00,312
New York,28.00,19.00,53.00,1966
North Carolina,41.00,17.00,43.00,1022
North Dakota,50.00,18.00,33.00,338
Ohio,42.00,18.00,40.00,1132
Oklahoma,45.00,15.00,40.00,391
Oregon,32.00,21.00,47.00,419
Pennsylvania,39.00,15.00,46.00,1366
Rhode Island,30.00,22.00,48.00,305
South Carolina,43.00,18.00,39.00,495
South Dakota,53.00,10.00,37.00,305
Tennessee,48.00,15.00,36.00,661
Texas,39.00,21.00,40.00,2535
Utah,54.00,16.00,30.00,315
Vermont,29.00,14.00,57.00,306
Virginia,43.00,18.00,39.00,882
Washington,33.00,23.00,44.00,714
West Virginia,43.00,16.00,41.00,309
Wisconsin,42.00,16.00,42.00,600
Wyoming,57.00,18.00,25.00,316